"Row","Time Diff","*Lambda","*N","Date","User ID","*DorkType"
109,5461730,27172.7860696517,201,"2004-07-03",3330,"E"
110,752570,34207.7272727273,22,"2002-07-10",3336,"D"
111,13090737,65128.0447761194,201,"2005-05-18",3382,"E"
112,650015,325007.5,2,"2002-05-18",3404,"D"
113,67869,33934.5,2,"2000-02-13",3426,"D"
114,6727596,33637.98,200,"2004-09-17",3471,"D"
115,373536,62256,6,"2001-10-28",3519,"C"
116,7276352,36381.76,200,"2004-10-16",3522,"E"
117,1710610,8553.05,200,"2003-05-06",3552,"D"
118,213966,106983,2,"2001-04-07",3632,"D"
119,759241,75924.1,10,"2002-07-14",3634,"D"
120,836537,418268.5,2,"2002-08-18",3750,"D"
121,3975781,17211.1731601732,231,"2004-03-09",3796,"D"
122,428569,47618.7777777778,9,"2001-12-17",3839,"D"
123,796865,132810.833333333,6,"2002-07-31",3840,"D"
124,5633732,74128.052631579,76,"2004-07-14",3860,"D"
125,199849,99924.5,2,"2001-03-13",3936,"C"
126,681883,61989.3636363636,11,"2002-06-04",3968,"D"
127,27798570,138992.85,200,"2006-02-17",3981,"D"
128,515266,128816.5,4,"2002-02-22",3987,"D"
129,544338,108867.6,5,"2002-03-14",4013,"D"
130,743933,185983.25,4,"2002-07-06",4105,"D"
131,355243,177621.5,2,"2001-10-09",4184,"D"
132,6287569,31437.845,200,"2004-08-23",4210,"D"
133,298287,149143.5,2,"2001-08-07",4233,"D"
134,2641354,12947.8137254902,204,"2003-10-12",4309,"D"
135,497580,82930,6,"2002-02-09",4375,"D"
136,597600,85371.4285714286,7,"2002-04-17",4444,"D"
137,31743196,158715.98,200,"2006-04-06",4488,"E"
138,3357,1678.5,2,"1997-02-11",4556,"C"
139,289971,144985.5,2,"2001-07-27",4578,"E"
140,859320,4254.05940594059,202,"2002-08-28",4629,"D"
141,90797,45398.5,2,"2000-05-29",4642,"C"
142,736605,105229.285714286,7,"2002-07-03",4671,"D"
143,426320,106580,4,"2001-12-15",4696,"C"
144,275242,68810.5,4,"2001-07-08",4823,"D"
145,357067,178533.5,2,"2001-10-11",4872,"D"
146,338558,67711.6,5,"2001-09-22",4902,"D"
147,9817020,48840.8955223881,201,"2005-02-02",4904,"E"
148,14567703,72838.515,200,"2005-06-26",4936,"D"
149,7628039,37950.4427860697,201,"2004-11-02",4999,"E"
150,2076864,10332.6567164179,201,"2003-07-16",5001,"D"
151,770457,192614.25,4,"2002-07-19",5028,"C"
152,1295483,6413.28217821782,202,"2003-01-25",5043,"D"
153,7253432,36267.16,200,"2004-10-14",5052,"D"
154,750596,57738.1538461538,13,"2002-07-09",5074,"D"
155,6415449,31917.6567164179,201,"2004-08-31",5103,"D"
156,88210,17642,5,"2000-05-19",5149,"C"
157,118525,59262.5,2,"2000-09-04",5212,"E"
158,3960,1980,2,"1997-04-12",5222,"D"
159,447803,223901.5,2,"2002-01-02",5227,"C"
160,4020530,20102.65,200,"2004-03-13",5233,"E"
161,6959433,34797.165,200,"2004-09-29",5242,"E"
162,3745657,18728.285,200,"2004-02-16",5243,"D"
163,91101,45550.5,2,"2000-05-31",5260,"D"
164,668621,334310.5,2,"2002-05-28",5267,"D"
165,706067,353033.5,2,"2002-06-17",5277,"D"
166,602432,75304,8,"2002-04-20",5282,"C"
167,12356639,386144.96875,32,"2005-04-27",5300,"E"
168,11305070,56525.35,200,"2005-03-25",5307,"E"
169,319178,159589,2,"2001-08-31",5331,"D"
170,185795,92897.5,2,"2001-02-15",5348,"D"
171,63225924,448410.808510638,141,"2006-12-14",5365,"F"
172,100160,33386.6666666667,3,"2000-07-04",5380,"C"
173,4808719,24043.595,200,"2004-05-17",5413,"D"
174,255827,127913.5,2,"2001-06-12",5471,"C"
175,118828,59414,2,"2000-09-05",5608,"D"
176,303510,151755,2,"2001-08-13",5610,"D"
177,341712,170856,2,"2001-09-25",5713,"D"
178,760261,76026.1,10,"2002-07-14",5728,"D"
179,380173,63362.1666666667,6,"2001-11-03",5737,"D"
180,438893,146297.666666667,3,"2001-12-26",5745,"D"
181,157351,52450.3333333333,3,"2000-12-16",5827,"D"
182,312359,104119.666666667,3,"2001-08-23",5896,"C"
183,62185753,914496.367647059,68,"2006-12-08",6020,"E"
184,84945,42472.5,2,"2000-05-05",6065,"C"
185,674679,168669.75,4,"2002-06-01",6134,"D"
186,630940,210313.333333333,3,"2002-05-07",6136,"D"
187,354303,177151.5,2,"2001-10-08",6140,"D"
188,773819,257939.666666667,3,"2002-07-21",6255,"D"
189,1488379,7155.66826923077,208,"2003-03-16",6325,"D"
190,694897,2871.47520661157,242,"2002-06-11",6378,"D"
191,532337,177445.666666667,3,"2002-03-06",6436,"D"
192,596421,298210.5,2,"2002-04-17",6438,"D"
193,535548,107109.6,5,"2002-03-08",6525,"D"
194,354069,88517.25,4,"2001-10-08",6532,"D"
195,83297,41648.5,2,"2000-04-28",6547,"C"
196,126211,42070.3333333333,3,"2000-09-27",6590,"C"
197,24421,12210.5,2,"1999-02-05",6628,"C"
198,194014,97007,2,"2001-03-03",6631,"D"
199,281280,93760,3,"2001-07-16",6654,"C"
200,3533369,17578.9502487562,201,"2004-01-26",6664,"D"
201,277999,92666.3333333333,3,"2001-07-12",6682,"D"
202,685179,228393,3,"2002-06-06",6726,"D"
203,3136491,15604.4328358209,201,"2003-12-13",6743,"D"
204,357677,119225.666666667,3,"2001-10-12",6794,"D"
205,71232,14246.4,5,"2000-03-02",6842,"D"
206,16559,8279.5,2,"1998-09-16",6880,"D"
207,80714,40357,2,"2000-04-17",6915,"D"
208,29941,9980.33333333333,3,"1999-04-21",6958,"C"
209,88161,29387,3,"2000-05-19",6979,"C"
210,431907,47989.6666666667,9,"2001-12-20",6989,"D"
211,317643,79410.75,4,"2001-08-30",7083,"D"
212,78500,39250,2,"2000-04-06",7085,"D"
213,1979719,9898.595,200,"2003-06-28",7112,"D"
214,409702,102425.5,4,"2001-11-30",7152,"D"
215,747830,124638.333333333,6,"2002-07-08",7224,"D"
216,5388945,26810.671641791,201,"2004-06-28",7251,"D"
217,422302,140767.333333333,3,"2001-12-12",7252,"D"
218,118590,59295,2,"2000-09-04",7301,"E"
219,22510,11255,2,"1999-01-06",7385,"D"
220,681290,227096.666666667,3,"2002-06-04",7400,"D"
221,80197,40098.5,2,"2000-04-14",7468,"D"
222,596127,119225.4,5,"2002-04-16",7512,"E"
223,2027030,10135.15,200,"2003-07-07",7551,"D"
224,2032928,10064,202,"2003-07-08",7578,"D"
225,75136,37568,2,"2000-03-21",7618,"D"
226,119,59.5,2,"1993-10-14",7675,"C"
227,653612,217870.666666667,3,"2002-05-20",7680,"C"
228,10651167,52990.8805970149,201,"2005-03-04",7681,"D"
229,536506,178835.333333333,3,"2002-03-09",7755,"E"
230,652407,326203.5,2,"2002-05-19",7833,"E"
231,562015,281007.5,2,"2002-03-26",7846,"D"
232,26317816,6579454,4,"2006-01-28",7852,"F"
233,34541985,2031881.47058824,17,"2006-05-07",8258,"E"
234,4921578,24607.89,200,"2004-05-26",8291,"E"
235,679180,339590,2,"2002-06-03",8412,"D"
236,74408,37204,2,"2000-03-18",8445,"C"
237,357127,71425.4,5,"2001-10-11",8446,"C"
238,515174,257587,2,"2002-02-22",8508,"E"
239,505904,252952,2,"2002-02-15",8557,"D"
240,431359,53919.875,8,"2001-12-19",8569,"D"
241,110123,55061.5,2,"2000-08-08",8610,"C"
242,143303,71651.5,2,"2000-11-12",8739,"D"
243,270835,67708.75,4,"2001-07-02",8882,"C"
244,489849,244924.5,2,"2002-02-04",8905,"C"
245,4740,2370,2,"1997-06-17",8922,"C"
246,2873606,14368.03,200,"2003-11-11",9000,"D"
247,109218,54609,2,"2000-08-05",9080,"C"
248,714286,357143,2,"2002-06-21",9093,"D"
249,39417710,197088.55,200,"2006-06-24",9261,"E"
250,3037696,15112.9154228856,201,"2003-12-02",9265,"D"
251,451946,225973,2,"2002-01-05",9274,"C"
252,5164,2582,2,"1997-07-18",9315,"C"
253,123680,30920,4,"2000-09-19",9318,"D"
254,32303514,161517.57,200,"2006-04-13",9357,"D"
255,184237,92118.5,2,"2001-02-12",9367,"D"
256,15627926,78139.63,200,"2005-07-22",9446,"D"
257,4905107,24525.535,200,"2004-05-25",9600,"D"
258,464339,116084.75,4,"2002-01-15",9641,"D"
259,57732,28866,2,"1999-12-16",9832,"D"
260,79396,39698,2,"2000-04-11",9945,"D"
261,350250,175125,2,"2001-10-04",9952,"D"
262,9003,4501.5,2,"1998-02-06",10038,"D"
263,3320781,16603.905,200,"2004-01-03",10051,"E"
264,450654,150218,3,"2002-01-04",10161,"D"
265,9523224,47616.12,200,"2005-01-22",10163,"E"
266,771897,192974.25,4,"2002-07-20",10178,"C"
267,739793,92474.125,8,"2002-07-04",10202,"E"
268,140932,70466,2,"2000-11-06",10213,"C"
269,484624,242312,2,"2002-01-31",10216,"C"
270,591538,147884.5,4,"2002-04-14",10218,"E"
271,696468,69646.8,10,"2002-06-12",10221,"D"
272,479110,239555,2,"2002-01-27",10223,"D"
273,548691,137172.75,4,"2002-03-17",10226,"D"
274,748977,3653.54634146341,205,"2002-07-09",10230,"D"
275,635611,127122.2,5,"2002-05-10",10237,"D"
276,92004,46002,2,"2000-06-03",10257,"D"
277,108086,54043,2,"2000-08-01",10274,"D"
278,357335,59555.8333333333,6,"2001-10-12",10280,"D"
279,432683,216341.5,2,"2001-12-20",10285,"D"
280,124532,62266,2,"2000-09-22",10287,"D"
281,586133,195377.666666667,3,"2002-04-10",10297,"D"
282,100098,50049,2,"2000-07-04",10312,"D"
283,638919,127783.8,5,"2002-05-12",10318,"D"
284,445050,148350,3,"2001-12-31",10345,"D"
285,378348,126116,3,"2001-11-01",10350,"D"
286,595471,59547.1,10,"2002-04-16",10355,"D"
287,832875,416437.5,2,"2002-08-16",10371,"E"
288,10775156,53875.78,200,"2005-03-08",10393,"D"
289,504760,126190,4,"2002-02-15",10396,"D"
290,628167,89738.1428571429,7,"2002-05-05",10419,"D"
291,740635,148127,5,"2002-07-05",10420,"D"
292,156808,78404,2,"2000-12-15",10424,"D"
293,2460,1230,2,"1996-10-21",10461,"C"
294,10467978,52868.5757575758,198,"2005-02-25",10508,"E"
295,4349632,21748.16,200,"2004-04-11",10519,"D"
296,2457401,12287.005,200,"2003-09-15",10524,"D"
297,448669,64095.5714285714,7,"2002-01-03",10532,"E"
298,233108,116554,2,"2001-05-09",10588,"E"
299,548833,137208.25,4,"2002-03-17",10633,"E"
300,254208,50841.6,5,"2001-06-09",10666,"C"
301,409937,136645.666666667,3,"2001-12-01",10671,"D"
302,487930,97586,5,"2002-02-02",10706,"E"
303,40348,20174,2,"1999-08-07",10727,"D"
304,54957543,2113751.65384615,26,"2006-10-24",10734,"D"
305,663751,221250.333333333,3,"2002-05-26",10766,"D"
306,6836194,34180.97,200,"2004-09-23",10792,"E"
307,271075,135537.5,2,"2001-07-03",10834,"C"
308,15551692,622067.68,25,"2005-07-20",10838,"D"
309,6010017,29900.5820895522,201,"2004-08-07",10867,"D"
310,226872,56718,4,"2001-04-29",10877,"C"
311,46134811,252102.792349727,183,"2006-08-21",10886,"D"
312,3419487,17012.3731343284,201,"2004-01-14",10903,"D"
313,468753,93750.6,5,"2002-01-19",10905,"D"
314,91698,45849,2,"2000-06-02",10923,"C"
315,671560,167890,4,"2002-05-30",10929,"D"
316,221380,110690,2,"2001-04-20",10963,"D"
317,674258,134851.6,5,"2002-05-31",10967,"D"
318,48314955,1150356.07142857,42,"2006-09-07",10991,"E"
319,905204,4481.20792079208,202,"2002-09-16",10997,"D"
320,737869,73786.9,10,"2002-07-03",11011,"D"
321,607100,202366.666666667,3,"2002-04-23",11040,"C"
322,125005,62502.5,2,"2000-09-23",11041,"C"
323,24066,12033,2,"1999-01-31",11074,"C"
324,221443,44288.6,5,"2001-04-20",11081,"D"
325,18544852,92724.26,200,"2005-09-22",11091,"D"
326,673053,224351,3,"2002-05-31",11185,"E"
327,254900,127450,2,"2001-06-10",11217,"D"
328,604793,302396.5,2,"2002-04-22",11222,"D"
329,29831,14915.5,2,"1999-04-19",11227,"D"
330,189643,63214.3333333333,3,"2001-02-22",11242,"D"
331,423445,141148.333333333,3,"2001-12-13",11250,"E"
332,281030,70257.5,4,"2001-07-16",11296,"D"
333,5197520,25987.6,200,"2004-06-15",11305,"D"
334,5643,2821.5,2,"1997-08-19",11321,"D"
335,8400542,41586.8415841584,202,"2004-12-07",11333,"E"
336,2583907,12791.6188118812,202,"2003-10-04",11334,"C"
337,643589,321794.5,2,"2002-05-14",11336,"D"
338,3660330,17942.7941176471,204,"2004-02-08",11382,"E"
339,11617941,58089.705,200,"2005-04-04",11410,"E"
340,367114,91778.5,4,"2001-10-21",11412,"C"
341,660874,132174.8,5,"2002-05-24",11426,"D"
342,259783,64945.75,4,"2001-06-17",11478,"D"
343,2524186,12495.9702970297,202,"2003-09-25",11489,"D"
344,14400,4800,3,"1998-07-27",11569,"C"
345,182293,60764.3333333333,3,"2001-02-08",11600,"D"
346,138803,69401.5,2,"2000-10-31",11608,"D"
347,328746,164373,2,"2001-09-11",11628,"E"
348,48552,24276,2,"1999-10-14",11640,"D"
349,186883,93441.5,2,"2001-02-17",11659,"E"
350,3125537,15627.685,200,"2003-12-12",11661,"D"
351,4466576,22332.88,200,"2004-04-20",11677,"D"
352,463073,154357.666666667,3,"2002-01-14",11684,"D"
353,239512,119756,2,"2001-05-19",11688,"D"
354,13503,6751.5,2,"1998-07-04",11690,"C"
355,6397571,31987.855,200,"2004-08-30",11724,"E"
356,85154,42577,2,"2000-05-06",11726,"C"
357,57617288,397360.606896552,145,"2006-11-10",11744,"E"
358,57777692,902776.4375,64,"2006-11-11",11756,"D"
359,620133,155033.25,4,"2002-05-01",11778,"D"
360,414800,82960,5,"2001-12-05",11781,"D"
361,357340,89335,4,"2001-10-12",11784,"D"
362,8029858,1338309.66666667,6,"2004-11-21",11802,"D"
363,779766,111395.142857143,7,"2002-07-23",11818,"D"
364,96987,48493.5,2,"2000-06-23",11871,"D"
365,2094,1047,2,"1996-08-23",11935,"D"
366,619238,309619,2,"2002-04-30",11938,"E"
367,10623,5311.5,2,"1998-04-07",11961,"C"
368,263093,131546.5,2,"2001-06-22",12005,"D"
369,13332223,66661.115,200,"2005-05-25",12041,"D"
370,737519,245839.666666667,3,"2002-07-03",12085,"C"
371,6065166,30325.83,200,"2004-08-10",12088,"D"
372,250975,125487.5,2,"2001-06-05",12093,"D"
373,209110,104555,2,"2001-03-30",12111,"C"
374,307228,76807,4,"2001-08-17",12161,"E"
375,320399,160199.5,2,"2001-09-02",12165,"D"
376,18469094,89222.6763285024,207,"2005-09-21",12212,"E"
377,240615,120307.5,2,"2001-05-20",12218,"D"
378,207725,69241.6666666667,3,"2001-03-28",12267,"D"
379,18971154,94855.77,200,"2005-09-30",12287,"D"
380,772625,193156.25,4,"2002-07-20",12311,"C"
381,366073,183036.5,2,"2001-10-20",12343,"D"
382,7004303,34847.2786069652,201,"2004-10-02",12350,"D"
383,464412,232206,2,"2002-01-15",12371,"D"
384,8041885,40209.425,200,"2004-11-21",12381,"E"
385,680262,75584.6666666667,9,"2002-06-04",12397,"D"
386,752330,188082.5,4,"2002-07-10",12437,"C"
387,270409,90136.3333333333,3,"2001-07-02",12462,"D"
388,8279913,41399.565,200,"2004-12-02",12484,"D"
389,502390,167463.333333333,3,"2002-02-13",12485,"E"
390,536929,268464.5,2,"2002-03-09",12492,"D"
391,804241,100530.125,8,"2002-08-04",12495,"D"
392,3275627,15235.4744186047,215,"2003-12-29",12501,"D"
393,1797591,8898.96534653465,202,"2003-05-24",12504,"C"
394,2361479,11748.6517412935,201,"2003-09-01",12506,"D"
395,426805,142268.333333333,3,"2001-12-15",12510,"E"
396,415256,83051.2,5,"2001-12-05",12522,"D"
397,702466,175616.5,4,"2002-06-15",12532,"D"
398,398473,132824.333333333,3,"2001-11-20",12534,"C"
399,266508,88836,3,"2001-06-27",12539,"D"
400,359954,119984.666666667,3,"2001-10-14",12548,"D"
401,138953,69476.5,2,"2000-11-01",12549,"C"
402,1908833,9449.66831683168,202,"2003-06-15",12564,"D"
403,580918,64546.4444444444,9,"2002-04-07",12570,"D"
404,56542868,434945.138461538,130,"2006-11-03",12577,"E"
405,372036,17716,21,"2001-10-26",12584,"D"
406,604890,100815,6,"2002-04-22",12587,"E"
407,118760,39586.6666666667,3,"2000-09-04",12591,"C"
408,675950,96564.2857142857,7,"2002-06-01",12628,"D"
409,639092,106515.333333333,6,"2002-05-12",12643,"D"
410,283462,94487.3333333333,3,"2001-07-19",12644,"D"
411,524447,262223.5,2,"2002-03-01",12667,"E"
412,427073,142357.666666667,3,"2001-12-16",12695,"D"
413,2049594,10146.504950495,202,"2003-07-11",12714,"E"
414,146452,48817.3333333333,3,"2000-11-20",12716,"C"
415,805025,268341.666666667,3,"2002-08-04",12719,"D"
416,2148896,10691.0248756219,201,"2003-07-28",12741,"D"
417,1441,720.5,2,"1996-04-08",12743,"B"
418,83719,41859.5,2,"2000-04-30",12747,"C"
419,251686,62921.5,4,"2001-06-06",12750,"D"
420,4860481,24061.7871287129,202,"2004-05-21",12757,"E"
421,667483,111247.166666667,6,"2002-05-28",12770,"E"
422,15882002,397050.05,40,"2005-07-27",12780,"D"
423,2657095,13285.475,200,"2003-10-14",12789,"D"
424,6907398,34536.99,200,"2004-09-27",12795,"D"
425,764335,47770.9375,16,"2002-07-16",12797,"C"
426,606206,101034.333333333,6,"2002-04-22",12825,"D"
427,585681,195227,3,"2002-04-10",12831,"E"
428,1722167,8360.03398058252,206,"2003-05-09",12853,"C"
429,678103,96871.8571428571,7,"2002-06-02",12861,"D"
430,10061483,49320.9950980392,204,"2005-02-11",12864,"D"
431,2149792,10435.8834951456,206,"2003-07-29",12865,"D"
432,176441,88220.5,2,"2001-01-27",12908,"D"
433,620757,88679.5714285714,7,"2002-05-01",12913,"D"
434,2125349,10521.5297029703,202,"2003-07-24",12916,"D"
435,116805,58402.5,2,"2000-08-29",12974,"D"
436,634656,317328,2,"2002-05-09",13024,"D"
437,1860,930,2,"1996-07-11",13028,"D"
438,706367,353183.5,2,"2002-06-17",13046,"D"
439,101599,50799.5,2,"2000-07-10",13078,"D"
440,450204,112551,4,"2002-01-04",13098,"C"
441,25559730,127798.65,200,"2006-01-17",13117,"E"
442,97045,48522.5,2,"2000-06-23",13124,"D"
443,525008,175002.666666667,3,"2002-03-01",13126,"E"
444,623488,47960.6153846154,13,"2002-05-03",13167,"C"
445,87285,43642.5,2,"2000-05-15",13171,"C"
446,595771,297885.5,2,"2002-04-16",13192,"E"
447,518796,103759.2,5,"2002-02-25",13203,"D"
448,810969,270323,3,"2002-08-07",13228,"D"
449,348696,174348,2,"2001-10-03",13234,"C"
450,161876,53958.6666666667,3,"2000-12-27",13252,"D"
451,1613658,8068.29,200,"2003-04-15",13263,"D"
452,7233090,35456.3235294118,204,"2004-10-13",13266,"E"
453,235247,117623.5,2,"2001-05-12",13269,"D"
454,609156,121831.2,5,"2002-04-24",13283,"E"
455,23893,11946.5,2,"1999-01-28",13286,"C"
456,56344535,507608.423423423,111,"2006-11-02",13294,"D"
457,81070,40535,2,"2000-04-18",13298,"C"
458,360132,180066,2,"2001-10-14",13304,"D"
459,3966866,19735.6517412935,201,"2004-03-08",13341,"D"
460,1683034,8091.50961538462,208,"2003-04-30",13348,"D"
461,2917369,14514.2736318408,201,"2003-11-17",13352,"D"
462,818949,409474.5,2,"2002-08-10",13357,"D"
463,33825883,1208067.25,28,"2006-04-29",13366,"D"
464,3113376,15566.88,200,"2003-12-11",13374,"E"
465,2087967,10235.1323529412,204,"2003-07-18",13387,"E"
466,582864,97144,6,"2002-04-08",13390,"D"
467,14496304,72481.52,200,"2005-06-24",13391,"D"
468,4512242,22561.21,200,"2004-04-24",13400,"E"
469,279172,69793,4,"2001-07-13",13410,"D"
470,452544,56568,8,"2002-01-06",13413,"C"
471,57257,19085.6666666667,3,"1999-12-13",13429,"D"
472,3450799,17253.995,200,"2004-01-17",13439,"D"
473,909190,31351.3793103448,29,"2002-09-17",13450,"D"
474,3469127,17259.3383084577,201,"2004-01-19",13455,"D"
475,570557,190185.666666667,3,"2002-03-31",13469,"D"
476,323519,161759.5,2,"2001-09-05",13476,"E"
477,10203,5101.5,2,"1998-03-24",13486,"D"
478,692864,115477.333333333,6,"2002-06-10",13501,"D"
479,359768,179884,2,"2001-10-14",13502,"E"
480,10540524,52702.62,200,"2005-02-28",13503,"D"
481,451951,90390.2,5,"2002-01-05",13512,"C"
482,2446830,12234.15,200,"2003-09-14",13519,"D"
483,529274,176424.666666667,3,"2002-03-04",13529,"D"
484,2849927,14249.635,200,"2003-11-08",13543,"D"
485,92419,46209.5,2,"2000-06-05",13561,"D"
486,847816,105977,8,"2002-08-23",13567,"D"
487,14602735,73013.675,200,"2005-06-27",13570,"E"
488,1820359,8879.8,205,"2003-05-29",13581,"D"
489,30864843,154324.215,200,"2006-03-27",13582,"E"
490,3659400,18297,200,"2004-02-08",13616,"D"
491,482341,241170.5,2,"2002-01-29",13627,"C"
492,249320,83106.6666666667,3,"2001-06-02",13649,"C"
493,13818013,66753.6859903382,207,"2005-06-07",13655,"E"
494,78913,39456.5,2,"2000-04-08",13666,"D"
495,18361,9180.5,2,"1998-10-24",13669,"C"
496,4449036,22134.5074626866,201,"2004-04-19",13684,"E"
497,168576,56192,3,"2001-01-10",13696,"D"
498,467728,93545.6,5,"2002-01-18",13712,"D"
499,261529,130764.5,2,"2001-06-20",13720,"D"
500,15164280,75821.4,200,"2005-07-11",13726,"D"
501,246537,123268.5,2,"2001-05-29",13739,"C"
502,199625,66541.6666666667,3,"2001-03-13",13833,"D"
503,4343350,21716.75,200,"2004-04-10",13953,"E"
504,19986,9993,2,"1998-11-24",14083,"D"
505,2286402,11432.01,200,"2003-08-20",14263,"D"
